帳號,題號,測試結果,執行時間,使用記憶體,程式語言,上傳時間
4,TIOJ-1001,Wrong Answer,25.3,16.29,python,2024-10-01 19:25:30.678678
4,TIOJ-1001,Accepted,26.8,17.25,python,2024-10-01 19:27:19.771001
4,TIOJ-1001,Accepted,25.7,16.29,python,2024-10-01 19:28:47.003568
4,TIOJ-1001,Wrong Answer,35.4,17.25,python,2024-10-01 19:29:54.905944
4,TIOJ-1001,Accepted,26.6,16.29,python,2024-10-01 19:31:26.722191
4,TIOJ-1001,Accepted,26.2,16.29,python,2024-10-01 19:33:52.119159
4,TIOJ-1001,Accepted,25.6,16.29,python,2024-10-01 19:45:12.737316
4,TIOJ-1001,Accepted,25.5,17.25,python,2024-10-01 19:46:48.088249
4,TIOJ-1001,Accepted,25.4,17.25,python,2024-10-01 19:48:34.514584
4,TIOJ-1001,Accepted,26.7,17.25,python,2024-10-01 19:50:35.039704
4,TIOJ-1001,Accepted,25.8,16.29,python,2024-10-01 23:20:25.855697
4,TIOJ-1001,Accepted,25.2,17.25,python,2024-10-01 23:22:32.931955
4,TIOJ-1001,Accepted,25.6,16.29,python,2024-10-01 23:24:33.350586
4,TIOJ-1001,Accepted,25.3,16.29,python,2024-10-02 01:16:45.899206
3,ZJ-a001,Accepted,33ms,3.3MB,python,2024-10-08 19:49
3,ZJ-a001,Accepted,18ms,3.3MB,python,2024-10-08 19:51
3,ZJ-a001,Accepted,18ms,3.3MB,python,2024-10-08 19:52
3,ZJ-a001,Accepted,19ms,3.3MB,python,2024-10-08 23:38
3,ZJ-a001,Accepted,18ms,3.3MB,python,2024-10-09 01:25
3,ZJ-a001,Accepted,18ms,3.3MB,python,2024-10-09 01:27
4,TIOJ-1001,Accepted,25.7,16.29,python,2024-10-08 15:55:18.609630
4,TIOJ-1001,Accepted,25.9,17.25,python,2024-10-08 17:15:29.840309
4,TIOJ-1001,Accepted,25.4,17.25,python,2024-10-08 22:43:07.747122
4,TIOJ-1001,Accepted,25.4,17.25,python,2024-10-08 22:51:26.672762
4,TIOJ-1001,Accepted,26.0,16.29,python,2024-10-08 22:55:17.113849
3,TIOJ-1001,Accepted,26.0,17.25,python,2024-10-09 01:33:09.082455
3,TIOJ-1001,Accepted,25.3,16.29,python,2024-10-09 01:42:49.260865
3,TIOJ-1001,Accepted,25.1,17.25,python,2024-10-09 01:43:09.145276
4,TIOJ-1001,Accepted,27.4,17.25,python,2024-10-09 01:55:41.540469
4,TIOJ-1001,Accepted,25.7,17.25,python,2024-10-09 15:10:35.227569
4,TIOJ-1001,Accepted,25.7,16.29,python,2024-10-09 15:13:16.992038
4,TIOJ-1001,Accepted,25.5,17.25,python,2024-10-09 16:54:11.093421
4,TIOJ-1001,Accepted,25.8,16.29,python,2024-10-09 16:59:12.050189
